model,policy,empty_probability_threshold,stable_empty_min_steps,recommendation_rate,occupancy_conflict_rate,standard_fpr_occupied_denominator,missed_opportunity_rate,empty_window_precision,empty_window_recall,recommendation_count,occupancy_conflict_count,safe_shiftable_load_opportunity_kwh,gross_shiftable_load_opportunity_kwh,raw_recommended_controllable_kwh,conflict_controllable_kwh,available_empty_controllable_kwh,safe_energy_capture_rate,safe_recommended_intervals,split,daily_anchor_count,pareto_frontier
Historical average,test_daily_threshold_sweep,0.675,4,0.2010658914728682,0.1301204819277108,0.0362294532036229,0.3705318221447253,0.8698795180722891,0.6294681778552746,830,108,1435.8299560546875,1782.592041015625,1782.592041015625,346.7620849609375,2296.60400390625,0.6251970098512899,722,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.65,4,0.2112403100775193,0.1410550458715596,0.0412613217041261,0.3469921534437663,0.8589449541284404,0.6530078465562337,872,123,1478.27294921875,1837.212890625,1837.212890625,358.9400329589844,2296.60400390625,0.6436777723562197,749,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.625,4,0.2315891472868217,0.1778242677824267,0.0570278430057027,0.3147340889276373,0.8221757322175732,0.6852659110723627,956,170,1548.5914306640625,1966.2254638671875,1966.2254638671875,417.6340942382813,2296.60400390625,0.6742962339306615,786,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.6,4,0.2315891472868217,0.1778242677824267,0.0570278430057027,0.3147340889276373,0.8221757322175732,0.6852659110723627,956,170,1548.5914306640625,1966.2254638671875,1966.2254638671875,417.6340942382813,2296.60400390625,0.6742962339306615,786,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.575,4,0.2417635658914728,0.1953907815631262,0.0654142905065414,0.2999128160418483,0.8046092184368737,0.7000871839581517,998,195,1575.6082763671875,2020.771484375,2020.771484375,445.1632385253906,2296.60400390625,0.6860600581063454,803,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.55,4,0.2693798449612403,0.2392086330935252,0.0892318014089231,0.2624237140366172,0.7607913669064749,0.7375762859633828,1112,266,1638.2296142578125,2192.725830078125,2192.725830078125,554.49609375,2296.60400390625,0.7133269869212886,846,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.525,4,0.2708333333333333,0.2423971377459749,0.0909090909090909,0.2615518744551002,0.7576028622540251,0.7384481255448997,1118,271,1638.262939453125,2212.11767578125,2212.11767578125,573.8544921875,2296.60400390625,0.7133414975618935,847,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.5,4,0.2882751937984496,0.2478991596638655,0.098960080509896,0.2197035745422842,0.7521008403361344,0.7802964254577158,1190,295,1769.8380126953125,2427.647705078125,2427.647705078125,657.8095703125,2296.60400390625,0.7706326426693626,895,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.45,4,0.3265503875968992,0.2922848664688427,0.132170412613217,0.1682650392327811,0.7077151335311572,0.8317349607672189,1348,394,1858.6171875,2671.033447265625,2671.033447265625,812.416015625,2296.60400390625,0.8092893613085728,954,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.475,4,0.3265503875968992,0.2922848664688427,0.132170412613217,0.1682650392327811,0.7077151335311572,0.8317349607672189,1348,394,1858.6171875,2671.033447265625,2671.033447265625,812.416015625,2296.60400390625,0.8092893613085728,954,test_daily,43,True
